trial,budget,method,pd,pfa,pfa_active,active_targets,reports,observations,selected,detected_per_target
66,2,balanced_sinr,1.0,0.04666666666666667,0.04666666666666667,10,2,12,"{""0"": [[6, 11]], ""1"": [[5, 9]], ""2"": [[6, 2]], ""3"": [[1, 12]], ""4"": [[6, 2], [2, 6]], ""5"": [[6, 11]], ""6"": [[8, 9]], ""7"": [[3, 13]], ""8"": [[8, 2], [5, 2]], ""9"": [[6, 11]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
67,2,proposed_c2f_adaptive_pd,1.0,0.05,0.05,10,1,12,"{""0"": [[6, 8], [0, 8]], ""1"": [[2, 3]], ""2"": [[9, 13]], ""3"": [[1, 5]], ""4"": [[5, 11], [9, 13]], ""5"": [[2, 6]], ""6"": [[3, 2]], ""7"": [[0, 5]], ""8"": [[0, 6]], ""9"": [[6, 2]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
67,2,sense_sinr_budgeted,0.3,0.02666666666666667,0.08888888888888889,3,2,12,"{""0"": [], ""1"": [], ""2"": [], ""3"": [[9, 5], [13, 5], [14, 5]], ""4"": [], ""5"": [], ""6"": [], ""7"": [[9, 5], [13, 5], [5, 9], [5, 13], [10, 5], [11, 5]], ""8"": [[5, 6], [1, 6], [0, 6]], ""9"": []}","[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
67,2,balanced_sinr,1.0,0.02666666666666667,0.02666666666666667,10,1,12,"{""0"": [[0, 8]], ""1"": [[10, 3]], ""2"": [[9, 13]], ""3"": [[9, 5], [13, 5]], ""4"": [[9, 13]], ""5"": [[6, 2]], ""6"": [[3, 2]], ""7"": [[9, 5], [13, 5]], ""8"": [[5, 6]], ""9"": [[6, 2]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
68,2,proposed_c2f_adaptive_pd,1.0,0.03,0.03,10,0,10,"{""0"": [[0, 11]], ""1"": [[0, 9]], ""2"": [[0, 4]], ""3"": [[0, 9]], ""4"": [[0, 7]], ""5"": [[0, 9]], ""6"": [[1, 7]], ""7"": [[2, 0]], ""8"": [[6, 3]], ""9"": [[0, 8]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
68,2,sense_sinr_budgeted,0.5,0.01,0.02,5,2,12,"{""0"": [], ""1"": [[7, 9], [9, 7], [9, 14], [14, 9], [8, 9], [6, 9]], ""2"": [[12, 4], [11, 4]], ""3"": [], ""4"": [[1, 7]], ""5"": [], ""6"": [[9, 7]], ""7"": [], ""8"": [], ""9"": [[1, 8], [9, 8]]}","[0, 1, 1, 0, 1, 0, 1, 0, 0, 1]"
68,2,balanced_sinr,1.0,0.03,0.03,10,2,12,"{""0"": [[0, 11]], ""1"": [[7, 9], [14, 9]], ""2"": [[12, 4], [11, 4]], ""3"": [[6, 9]], ""4"": [[1, 7]], ""5"": [[0, 9]], ""6"": [[9, 7]], ""7"": [[0, 14]], ""8"": [[3, 13]], ""9"": [[1, 8]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
69,2,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0.03666666666666667,10,0,11,"{""0"": [[4, 14], [3, 14]], ""1"": [[1, 11]], ""2"": [[0, 14]], ""3"": [[0, 3]], ""4"": [[1, 6]], ""5"": [[7, 12]], ""6"": [[1, 9]], ""7"": [[0, 10]], ""8"": [[0, 3]], ""9"": [[4, 11]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
69,2,sense_sinr_budgeted,0.3,0.01,0.03333333333333333,3,2,12,"{""0"": [], ""1"": [], ""2"": [], ""3"": [[3, 8], [8, 3], [3, 0], [0, 3], [14, 3], [4, 3]], ""4"": [], ""5"": [], ""6"": [[1, 9], [6, 9], [10, 9], [13, 9], [11, 9]], ""7"": [[9, 10]], ""8"": [], ""9"": []}","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
69,2,balanced_sinr,1.0,0.04666666666666667,0.04666666666666667,10,2,12,"{""0"": [[4, 14]], ""1"": [[1, 11]], ""2"": [[4, 14]], ""3"": [[3, 8], [8, 3]], ""4"": [[13, 6]], ""5"": [[7, 12]], ""6"": [[9, 1], [1, 9]], ""7"": [[9, 10]], ""8"": [[0, 3]], ""9"": [[4, 11]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
70,2,proposed_c2f_adaptive_pd,0.9,0.023333333333333334,0.023333333333333334,10,0,12,"{""0"": [[0, 6]], ""1"": [[0, 7]], ""2"": [[2, 12]], ""3"": [[2, 9]], ""4"": [[0, 4]], ""5"": [[0, 6]], ""6"": [[0, 14]], ""7"": [[8, 7]], ""8"": [[0, 11]], ""9"": [[2, 11], [9, 11], [3, 11]]}","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
70,2,sense_sinr_budgeted,0.3,0.006666666666666667,0.022222222222222223,3,2,12,"{""0"": [], ""1"": [[8, 7]], ""2"": [], ""3"": [], ""4"": [[4, 6], [6, 4], [12, 4], [1, 4], [10, 4], [0, 4]], ""5"": [[4, 6], [6, 4], [12, 6], [10, 6], [0, 6]], ""6"": [], ""7"": [], ""8"": [], ""9"": []}","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]"
70,2,balanced_sinr,0.8,0.03333333333333333,0.03333333333333333,10,2,12,"{""0"": [[4, 6]], ""1"": [[8, 7]], ""2"": [[2, 12]], ""3"": [[2, 9]], ""4"": [[4, 6], [6, 4]], ""5"": [[4, 6], [6, 4]], ""6"": [[10, 14]], ""7"": [[8, 7]], ""8"": [[3, 11]], ""9"": [[9, 11]]}","[1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
71,2,proposed_c2f_adaptive_pd,1.0,0.07666666666666666,0.07666666666666666,10,0,10,"{""0"": [[0, 2]], ""1"": [[4, 6]], ""2"": [[0, 12]], ""3"": [[4, 9]], ""4"": [[4, 6]], ""5"": [[0, 6]], ""6"": [[1, 7]], ""7"": [[4, 6]], ""8"": [[4, 6]], ""9"": [[0, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
71,2,sense_sinr_budgeted,0.4,0.03,0.075,4,2,12,"{""0"": [[13, 2], [3, 2], [8, 2]], ""1"": [], ""2"": [[8, 12], [10, 12], [11, 12]], ""3"": [], ""4"": [], ""5"": [[9, 6], [6, 9], [6, 5], [5, 6], [7, 6]], ""6"": [], ""7"": [], ""8"": [], ""9"": [[7, 1]]}","[1, 0, 1, 0, 0, 1, 0, 0, 0, 1]"
71,2,balanced_sinr,0.9,0.05333333333333334,0.05333333333333334,10,2,12,"{""0"": [[2, 13], [13, 2]], ""1"": [[9, 6]], ""2"": [[8, 12]], ""3"": [[6, 9]], ""4"": [[9, 6]], ""5"": [[9, 6], [5, 6]], ""6"": [[1, 7]], ""7"": [[9, 6]], ""8"": [[5, 6]], ""9"": [[1, 7]]}","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
72,2,proposed_c2f_adaptive_pd,1.0,0.023333333333333334,0.023333333333333334,10,0,10,"{""0"": [[7, 5]], ""1"": [[0, 11]], ""2"": [[1, 4]], ""3"": [[1, 14]], ""4"": [[0, 12]], ""5"": [[3, 1]], ""6"": [[0, 12]], ""7"": [[0, 2]], ""8"": [[2, 14]], ""9"": [[0, 7]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
72,2,sense_sinr_budgeted,0.3,0.016666666666666666,0.05555555555555555,3,2,12,"{""0"": [], ""1"": [[2, 11]], ""2"": [], ""3"": [], ""4"": [], ""5"": [[10, 1], [9, 1], [8, 1], [4, 1], [13, 1]], ""6"": [], ""7"": [], ""8"": [], ""9"": [[7, 5], [5, 7], [4, 7], [7, 4], [8, 7], [9, 7]]}","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
72,2,balanced_sinr,0.9,0.02666666666666667,0.02962962962962963,10,2,12,"{""0"": [[7, 5]], ""1"": [[11, 2]], ""2"": [[3, 4]], ""3"": [[5, 14]], ""4"": [[3, 12]], ""5"": [[10, 1], [9, 1]], ""6"": [[3, 12]], ""7"": [[11, 2]], ""8"": [[6, 14]], ""9"": [[7, 5], [5, 7]]}","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
73,2,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0.043333333333333335,10,0,10,"{""0"": [[0, 10]], ""1"": [[0, 1]], ""2"": [[4, 0]], ""3"": [[1, 0]], ""4"": [[0, 12]], ""5"": [[2, 8]], ""6"": [[0, 5]], ""7"": [[1, 11]], ""8"": [[10, 0]], ""9"": [[0, 10]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
73,2,sense_sinr_budgeted,0.4,0.016666666666666666,0.041666666666666664,4,2,12,"{""0"": [], ""1"": [[11, 1]], ""2"": [], ""3"": [[0, 12], [12, 0], [0, 10], [10, 0], [4, 0], [13, 0]], ""4"": [], ""5"": [], ""6"": [[1, 5], [11, 5], [7, 5], [2, 5]], ""7"": [[1, 11]], ""8"": [], ""9"": []}","[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
73,2,balanced_sinr,1.0,0.06,0.06,10,2,12,"{""0"": [[0, 10]], ""1"": [[11, 1]], ""2"": [[12, 0]], ""3"": [[0, 12], [12, 0]], ""4"": [[13, 12]], ""5"": [[3, 8]], ""6"": [[5, 1], [1, 5]], ""7"": [[1, 11]], ""8"": [[12, 0]], ""9"": [[0, 10]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
74,2,proposed_c2f_adaptive_pd,0.8,0.04666666666666667,0.04666666666666667,10,1,12,"{""0"": [[0, 5]], ""1"": [[0, 12]], ""2"": [[13, 9], [9, 13], [12, 13]], ""3"": [[11, 4]], ""4"": [[6, 0]], ""5"": [[0, 13]], ""6"": [[0, 12]], ""7"": [[1, 8]], ""8"": [[0, 6]], ""9"": [[0, 11]]}","[1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
74,2,sense_sinr_budgeted,0.3,0.01,0.03333333333333333,3,2,12,"{""0"": [[10, 5], [14, 5], [4, 5], [11, 5], [3, 5]], ""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [[13, 9], [9, 13], [12, 13]], ""6"": [], ""7"": [], ""8"": [], ""9"": [[11, 14], [14, 11], [4, 11], [5, 11]]}","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
74,2,balanced_sinr,0.9,0.043333333333333335,0.043333333333333335,10,2,12,"{""0"": [[10, 5]], ""1"": [[13, 12]], ""2"": [[12, 13]], ""3"": [[11, 4]], ""4"": [[6, 0]], ""5"": [[13, 9], [9, 13]], ""6"": [[6, 12]], ""7"": [[13, 8]], ""8"": [[0, 6]], ""9"": [[11, 14], [14, 11]]}","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
75,2,proposed_c2f_adaptive_pd,1.0,0.056666666666666664,0.056666666666666664,10,0,10,"{""0"": [[5, 8]], ""1"": [[0, 9]], ""2"": [[0, 12]], ""3"": [[0, 10]], ""4"": [[11, 13]], ""5"": [[8, 5]], ""6"": [[9, 5]], ""7"": [[0, 13]], ""8"": [[0, 11]], ""9"": [[0, 9]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
75,2,sense_sinr_budgeted,0.4,0.023333333333333334,0.058333333333333334,4,2,12,"{""0"": [], ""1"": [], ""2"": [[8, 12], [11, 12], [8, 11]], ""3"": [[12, 10], [2, 10], [11, 10], [14, 10]], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [[11, 2], [2, 11], [12, 11]], ""9"": [[1, 9], [0, 9]]}","[0, 0, 1, 1, 0, 0, 0, 0, 1, 1]"
75,2,balanced_sinr,1.0,0.04666666666666667,0.04666666666666667,10,2,12,"{""0"": [[5, 8]], ""1"": [[9, 5]], ""2"": [[8, 12], [11, 12]], ""3"": [[12, 10]], ""4"": [[11, 13]], ""5"": [[8, 5]], ""6"": [[9, 5]], ""7"": [[8, 13]], ""8"": [[11, 2], [2, 11]], ""9"": [[1, 9]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
76,2,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0.03666666666666667,10,0,12,"{""0"": [[0, 12]], ""1"": [[5, 2]], ""2"": [[0, 3]], ""3"": [[3, 2]], ""4"": [[2, 5]], ""5"": [[9, 12]], ""6"": [[8, 14], [9, 14]], ""7"": [[1, 11]], ""8"": [[5, 2], [8, 2]], ""9"": [[0, 10]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
76,2,sense_sinr_budgeted,0.4,0.01,0.025,4,2,12,"{""0"": [], ""1"": [], ""2"": [[13, 3], [0, 3]], ""3"": [[5, 2]], ""4"": [], ""5"": [], ""6"": [], ""7"": [[7, 11], [4, 11], [10, 11]], ""8"": [], ""9"": [[10, 6], [4, 10], [10, 11], [6, 10], [11, 10], [14, 10]]}","[0, 0, 1, 1, 0, 0, 0, 1, 0, 1]"
76,2,balanced_sinr,1.0,0.03,0.03,10,2,12,"{""0"": [[13, 12]], ""1"": [[5, 2]], ""2"": [[13, 3]], ""3"": [[5, 2]], ""4"": [[2, 5]], ""5"": [[9, 12]], ""6"": [[8, 14]], ""7"": [[11, 7], [7, 11]], ""8"": [[5, 2]], ""9"": [[10, 6], [4, 10]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
77,2,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0.04666666666666667,10,0,10,"{""0"": [[2, 7]], ""1"": [[0, 2]], ""2"": [[2, 11]], ""3"": [[0, 6]], ""4"": [[0, 3]], ""5"": [[2, 4]], ""6"": [[1, 0]], ""7"": [[4, 2]], ""8"": [[0, 1]], ""9"": [[1, 0]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
77,2,sense_sinr_budgeted,0.4,0.03666666666666667,0.09166666666666666,4,2,12,"{""0"": [], ""1"": [[5, 2], [11, 2], [4, 2]], ""2"": [], ""3"": [[4, 6], [6, 4], [8, 6]], ""4"": [[10, 3], [13, 3], [12, 3], [9, 3]], ""5"": [], ""6"": [], ""7"": [], ""8"": [[1, 14], [14, 1]], ""9"": []}","[0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
77,2,balanced_sinr,1.0,0.06666666666666667,0.06666666666666667,10,2,12,"{""0"": [[8, 7]], ""1"": [[2, 5], [5, 2]], ""2"": [[2, 11]], ""3"": [[4, 6]], ""4"": [[10, 3]], ""5"": [[11, 4]], ""6"": [[1, 0]], ""7"": [[11, 2]], ""8"": [[1, 14], [14, 1]], ""9"": [[1, 0]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
78,2,proposed_c2f_adaptive_pd,1.0,0.04,0.04,10,1,12,"{""0"": [[1, 4]], ""1"": [[3, 7]], ""2"": [[0, 12]], ""3"": [[0, 8]], ""4"": [[7, 10], [10, 7], [0, 10]], ""5"": [[0, 8]], ""6"": [[1, 10]], ""7"": [[2, 5]], ""8"": [[2, 5]], ""9"": [[0, 5]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
78,2,sense_sinr_budgeted,0.5,0.016666666666666666,0.03333333333333333,5,2,12,"{""0"": [], ""1"": [], ""2"": [[0, 12], [14, 12], [3, 12]], ""3"": [], ""4"": [], ""5"": [], ""6"": [[13, 10]], ""7"": [[5, 6], [2, 5], [6, 5]], ""8"": [[2, 5], [6, 5]], ""9"": [[2, 5], [5, 2], [9, 5]]}","[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]"
78,2,balanced_sinr,1.0,0.04666666666666667,0.04666666666666667,10,2,12,"{""0"": [[1, 4]], ""1"": [[14, 7]], ""2"": [[0, 12]], ""3"": [[12, 8]], ""4"": [[0, 10]], ""5"": [[13, 8]], ""6"": [[13, 10]], ""7"": [[5, 6], [2, 5]], ""8"": [[2, 5]], ""9"": [[2, 5], [5, 2]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
79,2,proposed_c2f_adaptive_pd,1.0,0.03333333333333333,0.03333333333333333,10,1,12,"{""0"": [[0, 10]], ""1"": [[0, 9]], ""2"": [[1, 7], [6, 7], [7, 6]], ""3"": [[4, 8]], ""4"": [[1, 5]], ""5"": [[1, 12]], ""6"": [[0, 4]], ""7"": [[2, 0]], ""8"": [[0, 9]], ""9"": [[1, 3]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
79,2,sense_sinr_budgeted,0.4,0.02,0.05,4,2,12,"{""0"": [], ""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [[14, 4]], ""7"": [[13, 0], [0, 13], [8, 0], [4, 0]], ""8"": [[13, 9], [0, 9], [6, 9], [9, 0], [4, 9], [8, 9]], ""9"": [[1, 3]]}","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
79,2,balanced_sinr,1.0,0.06,0.06,10,2,12,"{""0"": [[0, 10]], ""1"": [[6, 9]], ""2"": [[6, 7]], ""3"": [[12, 8]], ""4"": [[12, 5]], ""5"": [[11, 12]], ""6"": [[4, 14]], ""7"": [[13, 0]], ""8"": [[13, 9], [0, 9]], ""9"": [[3, 1], [1, 3]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
80,2,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0.05333333333333334,10,0,12,"{""0"": [[2, 14]], ""1"": [[0, 11]], ""2"": [[3, 1], [4, 1], [0, 1]], ""3"": [[5, 6]], ""4"": [[0, 11]], ""5"": [[3, 7]], ""6"": [[3, 2]], ""7"": [[1, 0]], ""8"": [[0, 4]], ""9"": [[0, 5]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
80,2,sense_sinr_budgeted,0.4,0.023333333333333334,0.058333333333333334,4,2,12,"{""0"": [], ""1"": [[0, 11]], ""2"": [], ""3"": [], ""4"": [[7, 11], [4, 11], [13, 11]], ""5"": [], ""6"": [], ""7"": [[0, 5], [5, 0], [7, 0], [0, 7], [11, 0], [1, 0]], ""8"": [[3, 4], [9, 4]], ""9"": []}","[0, 1, 0, 0, 1, 0, 0, 1, 1, 0]"
80,2,balanced_sinr,1.0,0.04666666666666667,0.04666666666666667,10,2,12,"{""0"": [[10, 14]], ""1"": [[0, 11]], ""2"": [[3, 1]], ""3"": [[8, 6]], ""4"": [[7, 11]], ""5"": [[4, 7]], ""6"": [[9, 2]], ""7"": [[0, 5], [5, 0]], ""8"": [[4, 3], [3, 4]], ""9"": [[8, 5]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
81,2,proposed_c2f_adaptive_pd,1.0,0.04,0.04,10,0,12,"{""0"": [[2, 14]], ""1"": [[7, 1], [2, 1]], ""2"": [[0, 4]], ""3"": [[0, 12]], ""4"": [[0, 4]], ""5"": [[0, 12]], ""6"": [[0, 6]], ""7"": [[2, 12]], ""8"": [[14, 9], [1, 9]], ""9"": [[1, 8]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
81,2,sense_sinr_budgeted,0.4,0.016666666666666666,0.041666666666666664,4,2,12,"{""0"": [[9, 14]], ""1"": [], ""2"": [[4, 10], [10, 4], [13, 4], [5, 4]], ""3"": [], ""4"": [], ""5"": [[2, 12], [7, 12], [12, 2], [1, 12], [8, 12], [9, 12]], ""6"": [[8, 6]], ""7"": [], ""8"": [], ""9"": []}","[1, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
81,2,balanced_sinr,1.0,0.04,0.04,10,2,12,"{""0"": [[9, 14]], ""1"": [[7, 1]], ""2"": [[4, 10], [10, 4]], ""3"": [[2, 12]], ""4"": [[4, 10]], ""5"": [[2, 12], [7, 12]], ""6"": [[8, 6]], ""7"": [[2, 12]], ""8"": [[14, 9]], ""9"": [[2, 8]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
82,2,proposed_c2f_adaptive_pd,1.0,0.06,0.06,10,0,11,"{""0"": [[0, 2]], ""1"": [[2, 0]], ""2"": [[0, 2], [5, 2]], ""3"": [[0, 1]], ""4"": [[4, 13]], ""5"": [[2, 1]], ""6"": [[0, 5]], ""7"": [[11, 3]], ""8"": [[2, 1]], ""9"": [[0, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
82,2,sense_sinr_budgeted,0.5,0.013333333333333334,0.02666666666666667,5,2,12,"{""0"": [[0, 2], [5, 2]], ""1"": [[2, 0]], ""2"": [], ""3"": [[3, 1], [2, 1], [8, 1], [11, 1]], ""4"": [], ""5"": [], ""6"": [[0, 5], [5, 0], [2, 5], [5, 2]], ""7"": [], ""8"": [[8, 1]], ""9"": []}","[1, 1, 0, 1, 0, 0, 1, 0, 1, 0]"
82,2,balanced_sinr,0.9,0.056666666666666664,0.056666666666666664,10,2,12,"{""0"": [[0, 2]], ""1"": [[0, 2]], ""2"": [[5, 2]], ""3"": [[3, 1], [2, 1]], ""4"": [[4, 9]], ""5"": [[2, 1]], ""6"": [[0, 5], [2, 5]], ""7"": [[11, 3]], ""8"": [[8, 1]], ""9"": [[5, 1]]}","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
83,2,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0.043333333333333335,10,0,10,"{""0"": [[1, 12]], ""1"": [[9, 10]], ""2"": [[1, 2]], ""3"": [[0, 14]], ""4"": [[0, 2]], ""5"": [[3, 11]], ""6"": [[8, 3]], ""7"": [[1, 0]], ""8"": [[1, 14]], ""9"": [[6, 3]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
83,2,sense_sinr_budgeted,0.5,0.03,0.06,5,2,12,"{""0"": [[10, 12], [14, 12], [11, 12], [9, 12], [7, 12]], ""1"": [], ""2"": [], ""3"": [[3, 14], [14, 3], [8, 14]], ""4"": [[4, 2]], ""5"": [[11, 10], [10, 11]], ""6"": [], ""7"": [], ""8"": [[3, 14]], ""9"": []}","[1, 0, 0, 1, 1, 1, 0, 0, 1, 0]"
83,2,balanced_sinr,1.0,0.07333333333333333,0.07333333333333333,10,2,12,"{""0"": [[10, 12], [14, 12]], ""1"": [[11, 10]], ""2"": [[7, 2]], ""3"": [[3, 14]], ""4"": [[4, 2]], ""5"": [[11, 10], [10, 11]], ""6"": [[8, 3]], ""7"": [[0, 1]], ""8"": [[3, 14]], ""9"": [[6, 3]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
84,2,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0.05333333333333334,10,0,10,"{""0"": [[0, 10]], ""1"": [[0, 8]], ""2"": [[0, 14]], ""3"": [[0, 12]], ""4"": [[0, 6]], ""5"": [[1, 14]], ""6"": [[1, 7]], ""7"": [[0, 11]], ""8"": [[4, 3]], ""9"": [[0, 5]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
84,2,sense_sinr_budgeted,0.4,0.02666666666666667,0.06666666666666667,4,2,12,"{""0"": [[0, 10]], ""1"": [], ""2"": [[14, 9], [9, 14], [11, 14], [4, 14], [1, 14], [3, 14]], ""3"": [[13, 12], [10, 12]], ""4"": [[1, 6], [6, 1], [0, 6]], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": []}","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
84,2,balanced_sinr,1.0,0.06333333333333334,0.06333333333333334,10,2,12,"{""0"": [[10, 0], [0, 10]], ""1"": [[5, 8]], ""2"": [[14, 9], [9, 14]], ""3"": [[13, 12]], ""4"": [[1, 6]], ""5"": [[1, 14]], ""6"": [[1, 7]], ""7"": [[8, 11]], ""8"": [[4, 3]], ""9"": [[0, 5]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
85,2,proposed_c2f_adaptive_pd,0.8,0.056666666666666664,0.056666666666666664,10,1,12,"{""0"": [[0, 14]], ""1"": [[0, 14]], ""2"": [[2, 6]], ""3"": [[1, 13]], ""4"": [[3, 14], [14, 3]], ""5"": [[4, 5]], ""6"": [[14, 3]], ""7"": [[0, 3]], ""8"": [[3, 14], [2, 14]], ""9"": [[2, 8]]}","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]"
85,2,sense_sinr_budgeted,0.5,0.03333333333333333,0.06666666666666667,5,2,12,"{""0"": [[5, 14], [10, 14]], ""1"": [], ""2"": [], ""3"": [[4, 13], [13, 4]], ""4"": [], ""5"": [[10, 5]], ""6"": [], ""7"": [[0, 3], [3, 0], [1, 3], [10, 3], [5, 3]], ""8"": [], ""9"": [[7, 8], [11, 8]]}","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
85,2,balanced_sinr,0.8,0.05,0.05,10,2,12,"{""0"": [[5, 14]], ""1"": [[5, 3]], ""2"": [[8, 6]], ""3"": [[4, 13]], ""4"": [[3, 14]], ""5"": [[5, 10], [10, 5]], ""6"": [[14, 3]], ""7"": [[0, 3], [1, 3]], ""8"": [[2, 14]], ""9"": [[7, 8]]}","[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]"
86,2,proposed_c2f_adaptive_pd,1.0,0.056666666666666664,0.056666666666666664,10,0,10,"{""0"": [[0, 8]], ""1"": [[3, 4]], ""2"": [[1, 6]], ""3"": [[0, 13]], ""4"": [[0, 10]], ""5"": [[0, 8]], ""6"": [[1, 12]], ""7"": [[0, 3]], ""8"": [[0, 3]], ""9"": [[1, 9]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
86,2,sense_sinr_budgeted,0.2,0.016666666666666666,0.08333333333333333,2,2,12,"{""0"": [[13, 8], [7, 8], [6, 8], [10, 8], [1, 8], [5, 8]], ""1"": [], ""2"": [], ""3"": [], ""4"": [[10, 2], [2, 10], [10, 14], [14, 10], [0, 10], [13, 10]], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": []}","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
86,2,balanced_sinr,1.0,0.023333333333333334,0.023333333333333334,10,2,12,"{""0"": [[13, 8], [7, 8]], ""1"": [[3, 4]], ""2"": [[8, 6]], ""3"": [[13, 3]], ""4"": [[10, 2], [2, 10]], ""5"": [[9, 8]], ""6"": [[1, 12]], ""7"": [[4, 3]], ""8"": [[13, 3]], ""9"": [[10, 9]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
87,2,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0.04666666666666667,10,0,11,"{""0"": [[0, 10]], ""1"": [[1, 5]], ""2"": [[5, 7], [6, 7]], ""3"": [[0, 10]], ""4"": [[2, 3]], ""5"": [[0, 2]], ""6"": [[0, 10]], ""7"": [[0, 11]], ""8"": [[0, 10]], ""9"": [[12, 4]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
87,2,sense_sinr_budgeted,0.5,0.02666666666666667,0.05333333333333334,5,2,12,"{""0"": [[11, 10], [1, 10]], ""1"": [], ""2"": [], ""3"": [[0, 10]], ""4"": [], ""5"": [[4, 2]], ""6"": [[1, 10], [0, 10]], ""7"": [], ""8"": [[1, 10], [10, 1], [10, 11], [11, 10], [12, 10], [13, 10]], ""9"": []}","[1, 0, 0, 1, 0, 1, 1, 0, 1, 0]"
87,2,balanced_sinr,1.0,0.043333333333333335,0.043333333333333335,10,2,12,"{""0"": [[10, 11], [11, 10]], ""1"": [[6, 5]], ""2"": [[6, 7]], ""3"": [[0, 10]], ""4"": [[14, 3]], ""5"": [[2, 4]], ""6"": [[1, 10]], ""7"": [[10, 11]], ""8"": [[1, 10], [11, 10]], ""9"": [[12, 4]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
