direct_gain_boost_db,receiver,target,arm,scene_id,threshold,scene_pfa,scene_pd,scene_conflict_index,scene_direct_inr_db
30.0,0,0,perfect_channel,4,7.591071665711211,0.0,1.0,0.012104409668707301,28.181807063032768
30.0,0,0,perfect_channel,5,7.591071665711211,0.0,0.0,0.0018819708561928182,32.786581687727896
30.0,0,0,plain_ls,3,1879.5046083249003,0.0,0.0,0.006361974072072679,27.70820695265401
30.0,0,0,plain_ls,4,1879.5046083249003,0.0,0.0,0.012104409668707301,28.181807063032768
30.0,0,0,plain_ls,5,1879.5046083249003,0.0,0.0,0.0018819708561928182,32.786581687727896
30.0,0,0,protected_ls,3,1817.1358139952167,0.0,0.0,0.006361974072072679,27.70820695265401
30.0,0,0,protected_ls,4,1817.1358139952167,0.0,0.0,0.012104409668707301,28.181807063032768
30.0,0,0,protected_ls,5,1817.1358139952167,0.0,0.0,0.0018819708561928182,32.786581687727896
30.0,0,0,tp_uic_full,3,1968.3366833434325,0.0,0.0,0.006361974072072679,27.70820695265401
30.0,0,0,tp_uic_full,4,1968.3366833434325,0.0,0.0,0.012104409668707301,28.181807063032768
30.0,0,0,tp_uic_full,5,1968.3366833434325,0.0,0.0,0.0018819708561928182,32.786581687727896
30.0,0,1,no_ic,3,146.54905701988696,0.5,0.5,0.3600542673820704,27.7159954930973
30.0,0,1,no_ic,4,146.54905701988696,1.0,1.0,0.9137315111447597,28.046628360795467
30.0,0,1,no_ic,5,146.54905701988696,0.5,0.5,0.3054709601636092,32.52005487756432
30.0,0,1,perfect_channel,3,5.706017658040013,0.0,0.5,0.3600542673820704,27.7159954930973
30.0,0,1,perfect_channel,4,5.706017658040013,1.0,1.0,0.9137315111447597,28.046628360795467
30.0,0,1,perfect_channel,5,5.706017658040013,0.5,1.0,0.3054709601636092,32.52005487756432
30.0,0,1,plain_ls,3,146.54808100718353,0.5,0.5,0.3600542673820704,27.7159954930973
30.0,0,1,plain_ls,4,146.54808100718353,1.0,1.0,0.9137315111447597,28.046628360795467
30.0,0,1,plain_ls,5,146.54808100718353,0.5,0.5,0.3054709601636092,32.52005487756432
30.0,0,1,protected_ls,3,127.9876471368299,0.5,0.5,0.3600542673820704,27.7159954930973
30.0,0,1,protected_ls,4,127.9876471368299,0.5,0.5,0.9137315111447597,28.046628360795467
30.0,0,1,protected_ls,5,127.9876471368299,0.5,0.5,0.3054709601636092,32.52005487756432
30.0,0,1,tp_uic_full,3,146.5635051941729,0.5,0.5,0.3600542673820704,27.7159954930973
30.0,0,1,tp_uic_full,4,146.5635051941729,1.0,1.0,0.9137315111447597,28.046628360795467
30.0,0,1,tp_uic_full,5,146.5635051941729,0.5,0.5,0.3054709601636092,32.52005487756432
30.0,0,2,no_ic,3,89.13441180826408,1.0,1.0,0.9179394564795551,27.879008733010274
30.0,0,2,no_ic,4,89.13441180826408,0.0,0.0,0.03241566758626238,28.029198082464863
30.0,0,2,no_ic,5,89.13441180826408,1.0,1.0,0.0464076274562235,32.80622342450719
30.0,0,2,perfect_channel,3,9.296863190664562,0.0,0.0,0.9179394564795551,27.879008733010274
30.0,0,2,perfect_channel,4,9.296863190664562,0.0,0.0,0.03241566758626238,28.029198082464863
30.0,0,2,perfect_channel,5,9.296863190664562,0.0,0.5,0.0464076274562235,32.80622342450719
30.0,0,2,plain_ls,3,89.13897940089616,1.0,1.0,0.9179394564795551,27.879008733010274
30.0,0,2,plain_ls,4,89.13897940089616,0.0,0.0,0.03241566758626238,28.029198082464863
30.0,0,2,plain_ls,5,89.13897940089616,1.0,1.0,0.0464076274562235,32.80622342450719
30.0,0,2,protected_ls,3,35.47621888180071,1.0,1.0,0.9179394564795551,27.879008733010274
30.0,0,2,protected_ls,4,35.47621888180071,0.0,0.0,0.03241566758626238,28.029198082464863
30.0,0,2,protected_ls,5,35.47621888180071,1.0,1.0,0.0464076274562235,32.80622342450719
30.0,0,2,tp_uic_full,3,89.14379724138618,1.0,1.0,0.9179394564795551,27.879008733010274
30.0,0,2,tp_uic_full,4,89.14379724138618,0.0,0.0,0.03241566758626238,28.029198082464863
30.0,0,2,tp_uic_full,5,89.14379724138618,1.0,1.0,0.0464076274562235,32.80622342450719
30.0,1,0,no_ic,3,84.35280124261837,0.5,0.5,0.026778839112984655,34.3126677863172
30.0,1,0,no_ic,4,84.35280124261837,0.0,0.0,0.0014051646843529712,26.37203345278903
30.0,1,0,no_ic,5,84.35280124261837,0.0,0.0,0.0024070072558686675,33.797942176323765
30.0,1,0,perfect_channel,3,8.882847190353546,0.0,0.0,0.026778839112984655,34.3126677863172
30.0,1,0,perfect_channel,4,8.882847190353546,0.5,0.0,0.0014051646843529712,26.37203345278903
30.0,1,0,perfect_channel,5,8.882847190353546,0.0,0.0,0.0024070072558686675,33.797942176323765
30.0,1,0,plain_ls,3,84.36012958532004,0.5,0.5,0.026778839112984655,34.3126677863172
30.0,1,0,plain_ls,4,84.36012958532004,0.0,0.0,0.0014051646843529712,26.37203345278903
30.0,1,0,plain_ls,5,84.36012958532004,0.0,0.0,0.0024070072558686675,33.797942176323765
30.0,1,0,protected_ls,3,183.86712254315248,0.5,0.0,0.026778839112984655,34.3126677863172
30.0,1,0,protected_ls,4,183.86712254315248,0.0,0.0,0.0014051646843529712,26.37203345278903
30.0,1,0,protected_ls,5,183.86712254315248,0.0,0.0,0.0024070072558686675,33.797942176323765
30.0,1,0,tp_uic_full,3,83.86723071156499,0.5,0.5,0.026778839112984655,34.3126677863172
30.0,1,0,tp_uic_full,4,83.86723071156499,0.0,0.0,0.0014051646843529712,26.37203345278903
30.0,1,0,tp_uic_full,5,83.86723071156499,0.0,0.0,0.0024070072558686675,33.797942176323765
30.0,1,1,no_ic,3,135.72644325434408,0.0,0.0,0.0011260049321964443,34.23861978518842
30.0,1,1,no_ic,4,135.72644325434408,1.0,1.0,0.9981879195452945,26.98633764355854
30.0,1,1,no_ic,5,135.72644325434408,0.0,0.0,0.10977570227910351,33.81151676746308
30.0,1,1,perfect_channel,3,5.83110404963986,0.0,0.5,0.0011260049321964443,34.23861978518842
30.0,1,1,perfect_channel,4,5.83110404963986,1.0,1.0,0.9981879195452945,26.98633764355854
30.0,1,1,perfect_channel,5,5.83110404963986,0.5,0.5,0.10977570227910351,33.81151676746308
30.0,1,1,plain_ls,3,135.72847033765225,0.0,0.0,0.0011260049321964443,34.23861978518842
30.0,1,1,plain_ls,4,135.72847033765225,1.0,1.0,0.9981879195452945,26.98633764355854
30.0,1,1,plain_ls,5,135.72847033765225,0.0,0.0,0.10977570227910351,33.81151676746308
30.0,1,1,protected_ls,3,147.65057106907955,0.0,0.0,0.0011260049321964443,34.23861978518842
30.0,1,1,protected_ls,4,147.65057106907955,0.5,0.5,0.9981879195452945,26.98633764355854
30.0,1,1,protected_ls,5,147.65057106907955,0.5,0.5,0.10977570227910351,33.81151676746308
30.0,1,1,tp_uic_full,3,135.9771370335222,0.0,0.0,0.0011260049321964443,34.23861978518842
30.0,1,1,tp_uic_full,4,135.9771370335222,1.0,1.0,0.9981879195452945,26.98633764355854
30.0,1,1,tp_uic_full,5,135.9771370335222,0.0,0.0,0.10977570227910351,33.81151676746308
30.0,1,2,no_ic,3,59.647650835619004,1.0,1.0,0.7510790095984372,34.32585107364963
30.0,1,2,no_ic,4,59.647650835619004,0.0,0.0,0.043424689974836186,26.881116527642227
30.0,1,2,no_ic,5,59.647650835619004,1.0,1.0,0.06276272089933543,33.822477138937174
30.0,1,2,perfect_channel,3,7.3742381489791295,0.0,0.0,0.7510790095984372,34.32585107364963
30.0,1,2,perfect_channel,4,7.3742381489791295,0.0,0.0,0.043424689974836186,26.881116527642227
30.0,1,2,perfect_channel,5,7.3742381489791295,0.5,0.0,0.06276272089933543,33.822477138937174
30.0,1,2,plain_ls,3,59.647708915015436,1.0,1.0,0.7510790095984372,34.32585107364963
30.0,1,2,plain_ls,4,59.647708915015436,0.5,0.0,0.043424689974836186,26.881116527642227
30.0,1,2,plain_ls,5,59.647708915015436,1.0,1.0,0.06276272089933543,33.822477138937174
30.0,1,2,protected_ls,3,41.87986497047977,1.0,1.0,0.7510790095984372,34.32585107364963
30.0,1,2,protected_ls,4,41.87986497047977,0.0,0.0,0.043424689974836186,26.881116527642227
30.0,1,2,protected_ls,5,41.87986497047977,1.0,1.0,0.06276272089933543,33.822477138937174
30.0,1,2,tp_uic_full,3,59.64788936254422,1.0,1.0,0.7510790095984372,34.32585107364963
30.0,1,2,tp_uic_full,4,59.64788936254422,0.0,0.0,0.043424689974836186,26.881116527642227
30.0,1,2,tp_uic_full,5,59.64788936254422,1.0,1.0,0.06276272089933543,33.822477138937174
30.0,2,0,no_ic,3,435.0360775360403,0.0,0.0,0.0033752766587161107,27.043458076026813
30.0,2,0,no_ic,4,435.0360775360403,0.0,0.0,0.05771464283166128,31.997361675368822
30.0,2,0,no_ic,5,435.0360775360403,0.0,0.0,0.01654493652521588,27.593975787234296
30.0,2,0,perfect_channel,3,6.222430500373836,0.5,0.0,0.0033752766587161107,27.043458076026813
30.0,2,0,perfect_channel,4,6.222430500373836,0.5,0.0,0.05771464283166128,31.997361675368822
30.0,2,0,perfect_channel,5,6.222430500373836,0.0,0.5,0.01654493652521588,27.593975787234296
30.0,2,0,plain_ls,3,435.0317979727859,0.0,0.0,0.0033752766587161107,27.043458076026813
30.0,2,0,plain_ls,4,435.0317979727859,0.0,0.0,0.05771464283166128,31.997361675368822
30.0,2,0,plain_ls,5,435.0317979727859,0.0,0.0,0.01654493652521588,27.593975787234296
30.0,2,0,protected_ls,3,348.2859465382968,0.0,0.0,0.0033752766587161107,27.043458076026813
30.0,2,0,protected_ls,4,348.2859465382968,0.0,0.0,0.05771464283166128,31.997361675368822
30.0,2,0,protected_ls,5,348.2859465382968,0.0,0.0,0.01654493652521588,27.593975787234296
30.0,2,0,tp_uic_full,3,437.429171953529,0.0,0.0,0.0033752766587161107,27.043458076026813
30.0,2,0,tp_uic_full,4,437.429171953529,0.0,0.0,0.05771464283166128,31.997361675368822
30.0,2,0,tp_uic_full,5,437.429171953529,0.0,0.0,0.01654493652521588,27.593975787234296
30.0,2,1,no_ic,3,676.4218411202305,0.0,0.0,0.059879876775505214,26.97430601619724
30.0,2,1,no_ic,4,676.4218411202305,0.0,0.0,0.011671976929697321,32.09656730387926
30.0,2,1,no_ic,5,676.4218411202305,0.0,0.0,0.013959288360933363,27.77330998634275
30.0,2,1,perfect_channel,3,5.364263622562781,0.5,0.5,0.059879876775505214,26.97430601619724
30.0,2,1,perfect_channel,4,5.364263622562781,0.0,0.5,0.011671976929697321,32.09656730387926
30.0,2,1,perfect_channel,5,5.364263622562781,1.0,1.0,0.013959288360933363,27.77330998634275
30.0,2,1,plain_ls,3,676.376054326941,0.0,0.0,0.059879876775505214,26.97430601619724
30.0,2,1,plain_ls,4,676.376054326941,0.0,0.0,0.011671976929697321,32.09656730387926
30.0,2,1,plain_ls,5,676.376054326941,0.0,0.0,0.013959288360933363,27.77330998634275
30.0,2,1,protected_ls,3,525.127858880309,0.0,0.0,0.059879876775505214,26.97430601619724
30.0,2,1,protected_ls,4,525.127858880309,0.0,0.0,0.011671976929697321,32.09656730387926
30.0,2,1,protected_ls,5,525.127858880309,0.0,0.0,0.013959288360933363,27.77330998634275
30.0,2,1,tp_uic_full,3,690.6193198076528,0.0,0.0,0.059879876775505214,26.97430601619724
30.0,2,1,tp_uic_full,4,690.6193198076528,0.0,0.0,0.011671976929697321,32.09656730387926
30.0,2,1,tp_uic_full,5,690.6193198076528,0.0,0.0,0.013959288360933363,27.77330998634275
30.0,2,2,no_ic,3,181.92215410856826,0.0,0.0,0.9164131320917713,27.281390338706363
30.0,2,2,no_ic,4,181.92215410856826,0.0,0.0,0.0038646431323989244,32.12048474267849
30.0,2,2,no_ic,5,181.92215410856826,0.5,0.5,0.10960445273114838,27.683736463292053
30.0,2,2,perfect_channel,3,6.8520788497818375,0.5,0.0,0.9164131320917713,27.281390338706363
30.0,2,2,perfect_channel,4,6.8520788497818375,0.5,0.0,0.0038646431323989244,32.12048474267849
30.0,2,2,perfect_channel,5,6.8520788497818375,0.0,0.5,0.10960445273114838,27.683736463292053
30.0,2,2,plain_ls,3,182.03755223490995,0.0,0.0,0.9164131320917713,27.281390338706363
30.0,2,2,plain_ls,4,182.03755223490995,0.0,0.0,0.0038646431323989244,32.12048474267849
30.0,2,2,plain_ls,5,182.03755223490995,0.5,0.5,0.10960445273114838,27.683736463292053
30.0,2,2,protected_ls,3,120.08507616932627,0.5,0.5,0.9164131320917713,27.281390338706363
30.0,2,2,protected_ls,4,120.08507616932627,0.0,0.0,0.0038646431323989244,32.12048474267849
30.0,2,2,protected_ls,5,120.08507616932627,0.5,0.5,0.10960445273114838,27.683736463292053
30.0,2,2,tp_uic_full,3,181.2132363981481,0.0,0.0,0.9164131320917713,27.281390338706363
30.0,2,2,tp_uic_full,4,181.2132363981481,0.0,0.0,0.0038646431323989244,32.12048474267849
30.0,2,2,tp_uic_full,5,181.2132363981481,0.5,0.5,0.10960445273114838,27.683736463292053
30.0,3,0,no_ic,3,1262.1919125012762,0.0,0.0,0.005827778747999829,30.595078550415337
30.0,3,0,no_ic,4,1262.1919125012762,0.0,0.0,0.03292909714317298,29.30211227116971
30.0,3,0,no_ic,5,1262.1919125012762,0.0,0.0,0.0022290764151263616,30.926327817857192
30.0,3,0,perfect_channel,3,7.380226940889846,0.0,0.0,0.005827778747999829,30.595078550415337
30.0,3,0,perfect_channel,4,7.380226940889846,0.5,0.0,0.03292909714317298,29.30211227116971
30.0,3,0,perfect_channel,5,7.380226940889846,0.0,0.0,0.0022290764151263616,30.926327817857192
30.0,3,0,plain_ls,3,1262.1718268659913,0.0,0.0,0.005827778747999829,30.595078550415337
30.0,3,0,plain_ls,4,1262.1718268659913,0.0,0.0,0.03292909714317298,29.30211227116971
30.0,3,0,plain_ls,5,1262.1718268659913,0.0,0.0,0.0022290764151263616,30.926327817857192
30.0,3,0,protected_ls,3,557.0016356849807,0.0,0.0,0.005827778747999829,30.595078550415337
30.0,3,0,protected_ls,4,557.0016356849807,0.0,0.0,0.03292909714317298,29.30211227116971
30.0,3,0,protected_ls,5,557.0016356849807,0.0,0.0,0.0022290764151263616,30.926327817857192
30.0,3,0,tp_uic_full,3,1280.3918489560524,0.0,0.0,0.005827778747999829,30.595078550415337
30.0,3,0,tp_uic_full,4,1280.3918489560524,0.0,0.0,0.03292909714317298,29.30211227116971
30.0,3,0,tp_uic_full,5,1280.3918489560524,0.0,0.0,0.0022290764151263616,30.926327817857192
30.0,3,1,no_ic,3,458.66691863214254,0.0,0.0,0.03071668176559589,30.835687030587046
30.0,3,1,no_ic,4,458.66691863214254,0.0,0.0,0.3742516831847036,28.95377361037967
30.0,3,1,no_ic,5,458.66691863214254,0.0,0.0,0.03909757004401773,30.831832155474803
30.0,3,1,perfect_channel,3,8.886684730344045,0.0,0.0,0.03071668176559589,30.835687030587046
30.0,3,1,perfect_channel,4,8.886684730344045,0.0,0.0,0.3742516831847036,28.95377361037967
30.0,3,1,perfect_channel,5,8.886684730344045,0.0,1.0,0.03909757004401773,30.831832155474803
30.0,3,1,plain_ls,3,458.6806340681254,0.0,0.0,0.03071668176559589,30.835687030587046
30.0,3,1,plain_ls,4,458.6806340681254,0.0,0.0,0.3742516831847036,28.95377361037967
30.0,3,1,plain_ls,5,458.6806340681254,0.0,0.0,0.03909757004401773,30.831832155474803
30.0,3,1,protected_ls,3,909.9829313305156,0.0,0.0,0.03071668176559589,30.835687030587046
30.0,3,1,protected_ls,4,909.9829313305156,0.0,0.0,0.3742516831847036,28.95377361037967
30.0,3,1,protected_ls,5,909.9829313305156,0.0,0.0,0.03909757004401773,30.831832155474803
30.0,3,1,tp_uic_full,3,474.92676385080057,0.0,0.0,0.03071668176559589,30.835687030587046
30.0,3,1,tp_uic_full,4,474.92676385080057,0.0,0.0,0.3742516831847036,28.95377361037967
30.0,3,1,tp_uic_full,5,474.92676385080057,0.0,0.0,0.03909757004401773,30.831832155474803
30.0,3,2,no_ic,3,83.05242275941575,1.0,1.0,0.07908001718398369,30.67001180456266
30.0,3,2,no_ic,4,83.05242275941575,0.0,0.0,0.018504260390001366,29.103038213920982
30.0,3,2,no_ic,5,83.05242275941575,0.0,0.0,0.009876164911789952,31.112686001720608
30.0,3,2,perfect_channel,3,7.697204905440765,0.0,0.5,0.07908001718398369,30.67001180456266
30.0,3,2,perfect_channel,4,7.697204905440765,0.0,0.0,0.018504260390001366,29.103038213920982
30.0,3,2,perfect_channel,5,7.697204905440765,0.0,0.5,0.009876164911789952,31.112686001720608
30.0,3,2,plain_ls,3,83.05148506304141,1.0,1.0,0.07908001718398369,30.67001180456266
30.0,3,2,plain_ls,4,83.05148506304141,0.0,0.0,0.018504260390001366,29.103038213920982
30.0,3,2,plain_ls,5,83.05148506304141,0.0,0.0,0.009876164911789952,31.112686001720608
30.0,3,2,protected_ls,3,71.91452455743035,0.5,0.5,0.07908001718398369,30.67001180456266
30.0,3,2,protected_ls,4,71.91452455743035,0.0,0.0,0.018504260390001366,29.103038213920982
30.0,3,2,protected_ls,5,71.91452455743035,0.0,0.0,0.009876164911789952,31.112686001720608
30.0,3,2,tp_uic_full,3,83.08915936926422,1.0,1.0,0.07908001718398369,30.67001180456266
30.0,3,2,tp_uic_full,4,83.08915936926422,0.0,0.0,0.018504260390001366,29.103038213920982
30.0,3,2,tp_uic_full,5,83.08915936926422,0.0,0.0,0.009876164911789952,31.112686001720608
30.0,4,0,no_ic,3,2034.492448018841,0.0,0.0,0.02631522904787531,30.132948816081345
30.0,4,0,no_ic,4,2034.492448018841,0.0,0.0,0.008241656074554456,29.332311977648573
30.0,4,0,no_ic,5,2034.492448018841,0.0,0.0,0.0075983622843421115,37.345966215880075
30.0,4,0,perfect_channel,3,6.928976056004586,0.0,0.0,0.02631522904787531,30.132948816081345
30.0,4,0,perfect_channel,4,6.928976056004586,0.5,1.0,0.008241656074554456,29.332311977648573
30.0,4,0,perfect_channel,5,6.928976056004586,0.0,0.0,0.0075983622843421115,37.345966215880075
30.0,4,0,plain_ls,3,2034.444049549935,0.0,0.0,0.02631522904787531,30.132948816081345
30.0,4,0,plain_ls,4,2034.444049549935,0.0,0.0,0.008241656074554456,29.332311977648573
30.0,4,0,plain_ls,5,2034.444049549935,0.0,0.0,0.0075983622843421115,37.345966215880075
30.0,4,0,protected_ls,3,619.3296703240642,0.0,0.0,0.02631522904787531,30.132948816081345
30.0,4,0,protected_ls,4,619.3296703240642,0.0,0.0,0.008241656074554456,29.332311977648573
30.0,4,0,protected_ls,5,619.3296703240642,0.0,0.0,0.0075983622843421115,37.345966215880075
30.0,4,0,tp_uic_full,3,2096.7517470501725,0.0,0.0,0.02631522904787531,30.132948816081345
30.0,4,0,tp_uic_full,4,2096.7517470501725,0.0,0.0,0.008241656074554456,29.332311977648573
30.0,4,0,tp_uic_full,5,2096.7517470501725,0.0,0.0,0.0075983622843421115,37.345966215880075
30.0,4,1,no_ic,3,124.98911960269378,0.0,0.0,0.01976343058305219,30.511779137607153
30.0,4,1,no_ic,4,124.98911960269378,0.5,0.5,0.03334335610824551,29.087445103636828
30.0,4,1,no_ic,5,124.98911960269378,0.0,0.0,0.005172664742182009,37.076592461600534
30.0,4,1,perfect_channel,3,4.646748825343429,1.0,0.5,0.01976343058305219,30.511779137607153
30.0,4,1,perfect_channel,4,4.646748825343429,0.0,1.0,0.03334335610824551,29.087445103636828
30.0,4,1,perfect_channel,5,4.646748825343429,0.5,1.0,0.005172664742182009,37.076592461600534
30.0,4,1,plain_ls,3,124.98819745789073,0.0,0.0,0.01976343058305219,30.511779137607153
30.0,4,1,plain_ls,4,124.98819745789073,0.5,0.5,0.03334335610824551,29.087445103636828
30.0,4,1,plain_ls,5,124.98819745789073,0.0,0.0,0.005172664742182009,37.076592461600534
30.0,4,1,protected_ls,3,57.408540412757745,0.0,0.0,0.01976343058305219,30.511779137607153
30.0,4,1,protected_ls,4,57.408540412757745,1.0,1.0,0.03334335610824551,29.087445103636828
30.0,4,1,protected_ls,5,57.408540412757745,0.0,0.0,0.005172664742182009,37.076592461600534
30.0,4,1,tp_uic_full,3,125.25839692362581,0.0,0.0,0.01976343058305219,30.511779137607153
30.0,4,1,tp_uic_full,4,125.25839692362581,0.5,0.5,0.03334335610824551,29.087445103636828
30.0,4,1,tp_uic_full,5,125.25839692362581,0.0,0.0,0.005172664742182009,37.076592461600534
30.0,4,2,no_ic,3,125.37410621964663,0.0,0.0,0.16117227764233955,30.669183080450523
30.0,4,2,no_ic,4,125.37410621964663,0.0,0.0,0.00046627562211031855,29.51811876510044
30.0,4,2,no_ic,5,125.37410621964663,0.5,0.0,0.027258101786620838,37.23201887238072
30.0,4,2,perfect_channel,3,6.205725746346055,0.5,0.0,0.16117227764233955,30.669183080450523
30.0,4,2,perfect_channel,4,6.205725746346055,0.0,0.0,0.00046627562211031855,29.51811876510044
30.0,4,2,perfect_channel,5,6.205725746346055,0.0,0.5,0.027258101786620838,37.23201887238072
30.0,4,2,plain_ls,3,132.0493840383021,0.0,0.0,0.16117227764233955,30.669183080450523
30.0,4,2,plain_ls,4,132.0493840383021,0.0,0.0,0.00046627562211031855,29.51811876510044
30.0,4,2,plain_ls,5,132.0493840383021,0.5,0.0,0.027258101786620838,37.23201887238072
30.0,4,2,protected_ls,3,294.2940237160152,0.0,0.0,0.16117227764233955,30.669183080450523
30.0,4,2,protected_ls,4,294.2940237160152,0.0,0.0,0.00046627562211031855,29.51811876510044
30.0,4,2,protected_ls,5,294.2940237160152,0.0,0.0,0.027258101786620838,37.23201887238072
30.0,4,2,tp_uic_full,3,123.166369090362,0.0,0.0,0.16117227764233955,30.669183080450523
30.0,4,2,tp_uic_full,4,123.166369090362,0.0,0.0,0.00046627562211031855,29.51811876510044
30.0,4,2,tp_uic_full,5,123.166369090362,0.5,0.5,0.027258101786620838,37.23201887238072
30.0,5,0,no_ic,3,38.015895144231216,0.0,0.0,0.05224210102370991,34.05396444110277
30.0,5,0,no_ic,4,38.015895144231216,0.0,0.5,0.012873400332034653,30.62943311113257
30.0,5,0,no_ic,5,38.015895144231216,0.0,0.0,0.001217137873575629,27.422222435654206
30.0,5,0,perfect_channel,3,7.71464541874177,0.0,0.5,0.05224210102370991,34.05396444110277
30.0,5,0,perfect_channel,4,7.71464541874177,0.0,0.5,0.012873400332034653,30.62943311113257
30.0,5,0,perfect_channel,5,7.71464541874177,0.5,0.0,0.001217137873575629,27.422222435654206
30.0,5,0,plain_ls,3,38.013162474264334,0.0,0.0,0.05224210102370991,34.05396444110277
30.0,5,0,plain_ls,4,38.013162474264334,0.0,0.5,0.012873400332034653,30.62943311113257
30.0,5,0,plain_ls,5,38.013162474264334,0.0,0.0,0.001217137873575629,27.422222435654206
30.0,5,0,protected_ls,3,199.78264052622535,0.0,0.0,0.05224210102370991,34.05396444110277
30.0,5,0,protected_ls,4,199.78264052622535,0.0,0.0,0.012873400332034653,30.62943311113257
30.0,5,0,protected_ls,5,199.78264052622535,0.0,0.0,0.001217137873575629,27.422222435654206
30.0,5,0,tp_uic_full,3,38.25800363647299,0.0,0.0,0.05224210102370991,34.05396444110277
30.0,5,0,tp_uic_full,4,38.25800363647299,0.0,0.5,0.012873400332034653,30.62943311113257
30.0,5,0,tp_uic_full,5,38.25800363647299,0.0,0.0,0.001217137873575629,27.422222435654206
30.0,5,1,no_ic,3,978.9533536702255,0.0,0.0,0.0021172115374505605,34.155392953494356
30.0,5,1,no_ic,4,978.9533536702255,0.0,0.0,0.06341814238231067,30.619729867616556
30.0,5,1,no_ic,5,978.9533536702255,0.5,1.0,0.27397498358109895,27.654524588977242
30.0,5,1,perfect_channel,3,4.576516870677217,0.5,0.5,0.0021172115374505605,34.155392953494356
30.0,5,1,perfect_channel,4,4.576516870677217,0.5,0.5,0.06341814238231067,30.619729867616556
30.0,5,1,perfect_channel,5,4.576516870677217,1.0,1.0,0.27397498358109895,27.654524588977242
30.0,5,1,plain_ls,3,978.7968322979057,0.0,0.0,0.0021172115374505605,34.155392953494356
30.0,5,1,plain_ls,4,978.7968322979057,0.0,0.0,0.06341814238231067,30.619729867616556
30.0,5,1,plain_ls,5,978.7968322979057,0.5,1.0,0.27397498358109895,27.654524588977242
30.0,5,1,protected_ls,3,372.85977264236277,0.0,0.0,0.0021172115374505605,34.155392953494356
30.0,5,1,protected_ls,4,372.85977264236277,0.0,0.0,0.06341814238231067,30.619729867616556
30.0,5,1,protected_ls,5,372.85977264236277,1.0,1.0,0.27397498358109895,27.654524588977242
30.0,5,1,tp_uic_full,3,992.8352317637439,0.0,0.0,0.0021172115374505605,34.155392953494356
30.0,5,1,tp_uic_full,4,992.8352317637439,0.0,0.0,0.06341814238231067,30.619729867616556
30.0,5,1,tp_uic_full,5,992.8352317637439,0.5,1.0,0.27397498358109895,27.654524588977242
30.0,5,2,no_ic,3,118.65573728407718,0.5,0.5,0.2530407225494871,34.10458251120332
30.0,5,2,no_ic,4,118.65573728407718,0.0,0.0,0.0009781878595617182,30.622538148539718
30.0,5,2,no_ic,5,118.65573728407718,0.0,0.0,0.0037420746224180196,27.475323744321045
30.0,5,2,perfect_channel,3,9.80880756365173,0.0,0.0,0.2530407225494871,34.10458251120332
30.0,5,2,perfect_channel,4,9.80880756365173,0.0,0.0,0.0009781878595617182,30.622538148539718
30.0,5,2,perfect_channel,5,9.80880756365173,0.0,0.0,0.0037420746224180196,27.475323744321045
30.0,5,2,plain_ls,3,118.65938772564479,0.5,0.5,0.2530407225494871,34.10458251120332
30.0,5,2,plain_ls,4,118.65938772564479,0.0,0.0,0.0009781878595617182,30.622538148539718
30.0,5,2,plain_ls,5,118.65938772564479,0.0,0.0,0.0037420746224180196,27.475323744321045
30.0,5,2,protected_ls,3,291.5809012326571,0.5,0.5,0.2530407225494871,34.10458251120332
30.0,5,2,protected_ls,4,291.5809012326571,0.0,0.0,0.0009781878595617182,30.622538148539718
30.0,5,2,protected_ls,5,291.5809012326571,0.0,0.0,0.0037420746224180196,27.475323744321045
30.0,5,2,tp_uic_full,3,118.27606079453307,0.5,0.5,0.2530407225494871,34.10458251120332
30.0,5,2,tp_uic_full,4,118.27606079453307,0.0,0.0,0.0009781878595617182,30.622538148539718
30.0,5,2,tp_uic_full,5,118.27606079453307,0.0,0.0,0.0037420746224180196,27.475323744321045
